-25.45543,-49.21497;-25.418912,-49.348273;17632
-25.45543,-49.21497;-25.477276,-49.334701;15356
-25.45543,-49.21497;-25.4450437,-49.304615;11936
-25.45543,-49.21497;-25.511781,-49.332461;19773
-25.45543,-49.21497;-25.391448,-49.256456;10541
-25.45543,-49.21497;-25.430027,-49.343073;16876
-25.45543,-49.21497;-25.499407,-49.249719;8202
-25.45543,-49.21497;-25.446652,-49.247678;5963
-25.45543,-49.21497;-25.46846,-49.263745;8573
-25.45543,-49.21497;-25.443498,-49.267926;6993
-25.45543,-49.21497;-25.512089,-49.274094;11914
-25.45543,-49.21497;-25.435592,-49.327338;15297
-25.45543,-49.21497;-25.514128,-49.231477;8715
-25.45543,-49.21497;-25.406902,-49.255767;9202
-25.45543,-49.21497;-23.342239,-51.159158;390689
-25.45543,-49.21497;-23.300536,-51.186379;397706
-25.45543,-49.21497;-23.395922,-51.917964;436223
-25.45543,-49.21497;-23.427603,-51.937416;434414
-25.45543,-49.21497;-25.552111,-48.552023;79331
-25.45543,-49.21497;-25.451036,-49.179392;5443
-25.45543,-49.21497;-25.436206,-49.16777;7290
-25.45543,-49.21497;-25.609546,-49.172238;27017
-22.86634,-43.25104;-22.774227,-41.928529;169480
-22.86634,-43.25104;-22.7948926,-43.2962253;13450
-22.86634,-43.25104;-22.678533,-43.286353;27119
-22.86634,-43.25104;-22.79241,-43.30392;15115
-22.86634,-43.25104;-22.563379,-42.99945;66514
-22.86634,-43.25104;-22.745989,-42.855662;50731
-22.86634,-43.25104;-22.946725,-43.031668;34401
-22.86634,-43.25104;-22.887808,-43.1149492;19164
-22.86634,-43.25104;-22.295356,-42.526755;138340
-22.86634,-43.25104;-22.516848,-43.22858;54767
-22.86634,-43.25104;-22.9854898,-43.2232754;20732
-22.86634,-43.25104;-22.8721116,-43.2584107;2162
-22.86634,-43.25104;-22.74726,-42.81205;60809
-22.86634,-43.25104;-22.830725,-43.270219;7928
-22.86634,-43.25104;-22.923803,-43.565357;45899
-22.86634,-43.25104;-22.913339,-43.1808861;13049
-22.86634,-43.25104;-22.9669384,-43.2034558;16329
-22.86634,-43.25104;-22.8017555,-43.3512168;18732
-22.86634,-43.25104;-22.805175,-43.209771;11497
-22.86634,-43.25104;-22.9499566,-43.177446;17821
-22.86634,-43.25104;-22.88191,-43.29292;7080
-22.86634,-43.25104;-22.951153,-43.193147;17651
-22.86634,-43.25104;-22.836785,-43.3174833;13065
-22.86634,-43.25104;-22.813784,-43.073608;27546
-22.86634,-43.25104;-22.784828,-42.983743;37610
-22.86634,-43.25104;-22.87102,-43.00446;31801
-22.86634,-43.25104;-22.859848,-43.028576;28883
-22.86249,-43.54302;-22.8015346,-43.4203493;24919
-22.86249,-43.54302;-22.460019,-44.437208;141019
-22.86249,-43.54302;-22.927491,-43.553993;9692
-22.86249,-43.54302;-22.8603689,-43.5168186;5307
-22.86249,-43.54302;-22.8885852,-43.6580269;13123
-22.86249,-43.54302;-22.821502,-43.408455;22047
-22.86249,-43.54302;-22.923803,-43.565357;8827
-22.86249,-43.54302;-23.016516,-43.473794;32069
-22.86249,-43.54302;-22.9929744,-43.2552769;59120
-22.86249,-43.54302;-22.8624987,-43.5430204;1753
-22.86249,-43.54302;-23.0122837,-43.3051556;59325
-22.86249,-43.54302;-23.0065886,-43.308949;57301
-22.86249,-43.54302;-23.0006509,-43.3752519;52626
-22.86249,-43.54302;-22.8748225,-43.5541716;2654
-22.86249,-43.54302;-23.0206299,-43.5007164;29323
-22.86249,-43.54302;-22.911702,-43.360276;27701
-22.86249,-43.54302;-22.9272778,-43.3609759;27523
-22.86249,-43.54302;-22.892791,-43.671947;15258
-22.86249,-43.54302;-23.0181467,-43.4828132;30981
-22.86249,-43.54302;-23.0020752,-43.3262628;55757
-22.86249,-43.54302;-22.9369145,-43.3330941;44382
-22.86249,-43.54302;-22.4099625,-43.6710937;95784
-22.86249,-43.54302;-22.512433,-44.087651;104896
-22.86249,-43.54302;-22.511534,-44.086174;104977
-22.86249,-43.54302;-22.4929013,-44.0920926;108168
-23.5630463, -46.790852;-23.462877,-46.875227;19626
-23.5630463, -46.790852;-23.488628,-46.883494;18010
-23.5630463, -46.790852;-23.484504,-46.863243;16912
-23.5630463, -46.790852;-23.493305,-46.88036;17344
-23.5630463, -46.790852;-23.498618,-46.852081;14559
-23.5630463, -46.790852;-23.502462,-46.831496;11639
-23.5630463, -46.790852;-23.555224,-46.836519;7788
-23.5630463, -46.790852;-23.518023,-46.859695;14616
-23.5630463, -46.790852;-23.518061,-46.853146;12325
-23.5630463, -46.790852;-23.612274,-46.932191;22108
-23.5630463, -46.790852;-23.602868,-46.906624;19162
-23.5630463, -46.790852;-23.553214,-46.936097;26136
-23.5630463, -46.790852;-23.536243,-46.939834;24095
-23.5630463, -46.790852;-23.5338021,-46.78724;4304
-23.5630463, -46.790852;-23.552966,-46.792419;1628
-23.5630463, -46.790852;-23.524678,-46.811874;7067
-23.5630463, -46.790852;-23.530406,-46.786711;4581
-23.5630463, -46.790852;-23.53605,-46.77255;4378
-23.5630463, -46.790852;-23.5630463,-46.790852;0
-23.5630463, -46.790852;-23.626187,-46.73691;13956
-23.5630463, -46.790852;-23.5735843,-46.7101615;11655
-23.5630463, -46.790852;-23.581024,-46.730702;10859
-23.5630463, -46.790852;-23.6448163,-46.7195239;23153
-23.5630463, -46.790852;-23.578492,-46.709373;12489
-23.5630463, -46.790852;-23.587351,-46.7320433;9573
-23.5630463, -46.790852;-23.6248761,-46.7647279;13435
-23.5630463, -46.790852;-23.656981,-46.717382;23687
-23.5630463, -46.790852;-23.553796,-46.743395;6017
-23.5630463, -46.790852;-23.5922445,-46.7319317;10172
-23.5630463, -46.790852;-23.5489518,-46.7061765;12527
-23.5630463, -46.790852;-23.643989,-46.742563;23418
-23.5630463, -46.790852;-23.588038,-46.723247;10860
-23.5630463, -46.790852;-23.582759,-46.713375;12544
-23.5630463, -46.790852;-23.527768,-46.704739;13052
-23.5630463, -46.790852;-23.529658,-46.727104;9669
-23.5630463, -46.790852;-23.645463,-46.730042;23342
-23.5630463, -46.790852;-23.665261,-46.782975;24521
-23.5630463, -46.790852;-23.587698,-46.726941;10195
-23.5630463, -46.790852;-23.524802,-46.708829;12574
-23.5630463, -46.790852;-23.554222,-46.709644;12026
-23.5630463, -46.790852;-23.596163,-46.745935;9688
-23.5630463, -46.790852;-23.611505,-46.73425;12995
-23.5630463, -46.790852;-23.554081,-46.742904;5943
-23.5630463, -46.790852;-23.649662,-46.726807;23106
-23.5630463, -46.790852;-23.5456266,-46.71767;9625
-23.5630463, -46.790852;-23.610523,-46.727398;13479
-23.5630463, -46.790852;-23.517407,-46.729103;13111
-23.5630463, -46.790852;-23.6726314,-46.8034272;21873
-23.5630463, -46.790852;-23.54338,-46.711406;11208
-23.5630463, -46.790852;-23.506935,-46.746845;12971
-23.5630463, -46.790852;-23.638701,-46.737022;19204
-23.5630463, -46.790852;-23.5571725,-46.7451275;5942
-23.5630463, -46.790852;-23.615256,-46.742275;12372
-23.5630463, -46.790852;-23.605209,-47.0223961;32439
-23.5630463, -46.790852;-23.60768,-47.03495;32639
-23.506395, -46.623865;-23.4856721,-46.5511804;12732
-23.506395, -46.623865;-23.4580203,-46.5686889;12714
-23.506395, -46.623865;-23.451614,-46.551007;14255
-23.506395, -46.623865;-23.455924,-46.560096;13217
-23.506395, -46.623865;-23.454873,-46.566468;13863
-23.506395, -46.623865;-23.450356,-46.56945;13664
-23.506395, -46.623865;-23.522778,-46.659933;6688
-23.506395, -46.623865;-23.537559,-46.560746;11596
-23.506395, -46.623865;-23.5015338,-46.5765957;8408
-23.506395, -46.623865;-23.508735,-46.600274;3252
-23.506395, -46.623865;-23.532243,-46.659031;6968
-23.506395, -46.623865;-23.553437,-46.658314;8062
-23.506395, -46.623865;-23.533835,-46.583677;7431
-23.506395, -46.623865;-23.478894,-46.673037;9764
-23.506395, -46.623865;-23.557363,-46.572183;10004
-23.506395, -46.623865;-23.54363,-46.561372;10553
-23.506395, -46.623865;-23.493988,-46.659598;5110
-23.506395, -46.623865;-23.5529614,-46.6738097;9861
-23.506395, -46.623865;-23.513553,-46.67187;6839
-23.506395, -46.623865;-23.545852,-46.681682;9905
-23.506395, -46.623865;-23.550063,-46.571778;10296
-23.506395, -46.623865;-23.489648,-46.565034;12618
-23.506395, -46.623865;-23.546557,-46.658083;8319
-23.506395, -46.623865;-23.5153853,-46.6966521;10599
-23.506395, -46.623865;-23.506395,-46.623865;0
-23.506395, -46.623865;-23.520642,-46.555165;11083
-23.506395, -46.623865;-23.468892,-46.568901;15311
-23.506395, -46.623865;-23.533224,-46.629754;4483
-23.506395, -46.623865;-23.508894,-46.685169;8687
-23.506395, -46.623865;-23.506936,-46.667286;5987
-23.506395, -46.623865;-23.522184,-46.526204;14163
-23.506395, -46.623865;-23.514707,-46.699153;10083
-23.506395, -46.623865;-23.486943,-46.620766;2758
-23.506395, -46.623865;-23.5375466,-46.6679183;8500
-23.506395, -46.623865;-23.529125,-46.560363;10037
-23.506395, -46.623865;-23.566386,-46.662927;9170
-23.506395, -46.623865;-23.491969,-46.611397;2905
-23.506395, -46.623865;-23.558615,-46.521377;15769
-23.506395, -46.623865;-23.503075,-46.63693;2035
